,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
479,SSH,Waialua Farms,,,Lease,2024-0248,2023-0069,011-0001-2023-0163,0,15,9/30/2024,Oahu,,30.593,Orchard,Continuous,Pineapple or sugarcane plantation,,,,,,,,C-4,,Row crop monoculture,Commercial veg/fruits,None,,,,,,,#VALUE!,,,None,More than twice,No,No,None,Plastic Mulch,Waialua Series,,,Conventional cropland,PIAL,,Histosol,Palehumult,,HAC,,1.08,356.46,154.4888206,48.30466894,5.19,5.61,146.71,113.35,34.48,0.25,0.11,,0.12,0.95,23.41,#N/A,0.00,0.62,40.37,#N/A,#REF!,271.45,9.444444444,#REF!,52.14,,,https://docs.google.com/spreadsheets/d/1qDjNW0YIq46KWS11xkO2oLj7US4pomIO3bi64RSodNQ/edit#gid=2114689344,3/9/2022,,10/15/2024,,31,,,,,,,,,2.47,#N/A,<1.00,,,,,,,19.748998,-159.709820
1145,AFRI-2020,Round 3,,,Own,2025-0211,2023-0070,011-0124-2024-0259,0,20,7/7/2023,Ant,,2.89,Managed forest,2019-curent,Unmanaged forest,1889-1949,,1950-2014,,,,,Tree Establishment 1,0.25,"kikuyu, rhodes, clover, treefoil, purprle vitch, orchard grass, yorkshire fog",No change,None,"500-1,000 lb/ac/yr",,,,,,,,,,,,No,Sprinkle,,Kula,,,Protected forest,,Low,Andisol,Haplustept,#N/A,HAC,,5.84,337.56,65.08,10.06,132.94,7.74,103,107.44,6.17,0.24,0.24,0.97,0.71,,59.90256189,#N/A,0.25,0.73,#N/A,12.26,3.52,28.00,11.45,5.787860275,1.56,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7/8/2024,scoring_function_noPIALv2,10/15/2024,71,,4734,,,,#N/A,159,,,,760,,,,22.35000382,,,,19.491954,-159.564216
1435,AFRI-2020,,,,Duamed Colon,2024-0080,2023-0071,002-0019-2019-0124,0,15,2/18/2022,Oahu,,23,Agroforestry,2019-2021,,1986-2022,Pineapple or sugarcane plantation,,,,,,Avocado,,Commercial veg/fruits,Weeds/Unmanaged,Bone/blood meal,250-500 lb/ac/yr,,,,,,,,,,Twice yearly,No,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",Waialua,,,Organic,None,,Andisol,,Ustoll,HAC,,9.33,30.400,37.01,17.67,266.21,5.5,161,85.74,,0.53,#N/A,0.29,0.09,0.7999,44.53,3.70,0.50,0.11,4.61,#N/A,#N/A,31.81,,#N/A,5.3,,Done,,10/4/2023,0.03,10/15/2024,,,,,,#N/A,#N/A,,,,,,,,,,,,,20.293216,-158.650947
758,CIG-2020,Baseline,,,,2024-0474,2023-0072,008-0204-2023-0354,0,15,02/05/2024,Oahu,,53,Orchard,2000-2019,,#N/A,Agroforestry,,,,,,P11-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),0.044,Forage,No change,None,"500-1,000 lb/ac/yr",,,,,,,,,None,Other,No,,,,Laumaia,,,Conventional cropland,PIAL,,Andisol,Haplustox,Ustand,PNCM,,6.63,115.26,,,101.45,7.03,,71.61,97.4338,0.20,0.11,0.87,0.41,1.1,#N/A,#N/A,0.50,0.11,#N/A,#N/A,#N/A,39.34,13.75,628.42,6.03,,,,8.2,scoring_function_noPIALv2,10/15/2024,207,48,2098,,,,#N/A,,,#N/A,,747,,,,,16,,,21.086555,-157.696148
,CIG-2020,,,,,2024-0043,2023-0073,011-0281-2024-0066,0,15,3-30-21,Big Island,,6,Cropland,2020-2021,,#N/A,Pasture,#N/A,,,,,P7,0.044,Protected forest,Nothing/bare fallow,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,None,,No,No,None,Weeds,La Luna,,,Conventional cropland,None,,Inceptisol,Palehumult,Ustoll,HAC,,2.06,24.25,100.1694077,7.59,7.65,8.67,3000.72,75.08,0.26,0.72,0.84,0.07,0.81,,,0.23,,0.13,#N/A,,16.08,142.21,9.692307692,#N/A,,,Done,27.54,3/9/2022,,10/15/2024,#N/A,,,,,,,34,,,,546,,,,,,,,21.510887,-157.072083
2030,Department of Health,Round 2,,,Own,368,2023-0074,011-0049-2023-0254,0,15,6/25/2024,Oahu,,,Pasture,,Cropland,,,,,,,,Field 4,2.1,Commercial veg/fruits,Commercial veg/fruits,Bone/blood meal,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,#VALUE!,None,Yearly,Yes,Yes,Surface Drip,Weeds,Pohakupu,,,Unmanaged forest,None,,Mollisol,Haplustand,Udand,HAC,,6.6,469.22,92.53,,0.02,,985.27,94.70,,0.14,0.25,0.12,0.10,,,0.06,#N/A,0.54,#N/A,#N/A,#N/A,,9.62,#N/A,,,Done,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,7/10/2024,scoring_function_noPIALv2,10/15/2024,,27,,191,,326,,,,,,540,,,,,,,,20.434451,-159.512875
598,Department of Health,Round 2,,,Lease,2023-0095,2023-0075,011-0001-2023-0171,0,15,9/12/2024,Big Island,,1ac,Protected forest,>30 yrs,Unmanaged forest,,,#N/A,,,,,83,0.07,Agroforestry,No change,,,,,,#VALUE!,,#VALUE!,,,None,,Unkonwn,Yes,Surface Drip,Weeds,Wahiawa,,,Protected forest,None,,Ultisol,Haplustox,,,,15.1,225.64,38.37,6.59,-4.99,7.25,927.39,81.26,63.18,#N/A,0.80,0.32,0.03,0.87,44.75,#N/A,,0.12,131.54,#N/A,#N/A,37.59,11.41558442,#N/A,7.12,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234655,3/9/2022,#N/A,10/15/2024,,,,708,,,,42,,4.34,,637,,,,,,248,,20.044029,-157.022837
459,CIG-2020,,,,Own,261,2023-0076,010-0180-2023-0228,0,15,7/30/2019,Oahu,,60,Agroforestry,2018-current,Cropland,1976-2016,Unmanaged/abandoned ag land,#N/A,,,,,F2A,0.1,Mixed,,None,,,,,,,,,,Roto,,Yes,Yes,Surface Drip,,Kemole,,,Conventional cropland,PIAL,,Andisol,Haplustoll,Ustox,HAC,,2.05,443.871,17.46632646,27.33,197.44,5.83,725.72,78.48,53.99,0.31,0.81,0.42,0.19,,,0.06,0.25,0.14,77.94,67.13662792,#N/A,16.85,13.16,#N/A,9.12,,Done,,3/9/2022,,10/15/2024,,,4024,#N/A,,,,,,,,,,,,,,,,22.019688,-159.374118
271,CIG-2020,,,,Lease,2023-0410,2023-0077,011-0082-2024-0417,0,15,8/14/2019,Pohnpei,,,Unmanaged forest,2019,Unmanaged/abandoned ag land,1990-2005,#N/A,,,,,,LE-Pasture-1B,0.15,Orchard/tree crop,No Change,None,0-250 lb/ac/yr,,,,,,,,,None,Other,Yes,No,,,Ookala,,,Pasture,None,,Histosol,,Cambid,HAC,,,342.91,12.00,32.6,132.95,,2539.94,,0.35,0.10,0.29,0.30,,0.75,,#N/A,,0.13,#N/A,,#N/A,333,10.86,#N/A,71.72,,Done,https://docs.google.com/spreadsheets/d/1pCYgXFAgVdQSXo7dxFWll33CC27Jc46VSCWVeIjVK5k/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,10/15/2024,,,3369,,409,#N/A,,,,,,,,164.1,,,,,,21.810801,-159.099188
26,ORCD,Baseline,,,,478,2023-0078,011-0050-2023-0401,0,15,08/18/2022,Oahu,,22.8 acres,Orchard,1800- 2021,Cropland,,,#N/A,,NA,,,,2.5 acres,Nothing/bare fallow,Commercial veg/fruits,,0-250 lb/ac/yr,,,,#VALUE!,,,,,Mulboard,,,No,Surface Drip,Weeds,Lualualei,,,Organic,PIAL,,Mollisol,Haplustoll,Aquept/Humolt,HAC,,12.68,49.52,244.1725229,,3.53,6.47,2238.75,,36.5712045,0.52,0.81,0.49,0.73,#N/A,,0.00,#N/A,0.27,,#N/A,#N/A,111.36,9.647058824,#N/A,18.78,,Done,,7/10/2024,scoring_function_noPIALv2,10/15/2024,,,2036,,,126,0.94,,,,#N/A,,,,,,,,,21.698252,-157.129996
575,ORCD,,,,Lease,2022-0218,2023-0079,007-0022-2021-0472,0,,08/21/2022,Oahu,,60,Cropland,Continuous,Cropland,#N/A,#N/A,,,,vanna grass,,IA1B,,Cover crop/legumes-canavalia,Forage,Synthetic blend,250-500 lb/ac/yr,,,,,,#VALUE!,,,None,,none,No,Surface Drip,Weeds,Waialua Series,,,Conventional cropland,PIAL,,Andisol,Paleudalf/Dystrudept,Perox,PNCM,,3.4,,56.12,67.53,26.60,8.02,180,155.6,10.14,0.90,0.24,0.55,0.22,,87.5032,,#N/A,0.25,#N/A,66.19114564,#N/A,169.7734802,14.11764706,#N/A,14.72,,In progress,https://docs.google.com/spreadsheets/d/1oCGqbjI7hSCgkNGZzrmZXamsPtmpQf8Vs2yZ1rgnHFA/edit#gid=1076234646,#N/A,scoring_function_noPIALv2,10/15/2024,78,70,,,,,,,,,3.05,,,10.5,#N/A,,,74,,19.324281,-156.263635
1701,CIG-2020,,,,Lease,2025-674-0004,2023-0080,007-0022-2021-0473,0,15,10/24/2023,Oahu,,26,Orchard,2000-2021,Protected forest,,,1850-1950,,,,,P4,12,Agroforestry,,None,"500-1,000 lb/ac/yr",,,,,,,,,Disc,,No,Yes,None,Bare soil,,,,Conventional cropland,PIAL,Low,Mollisol,Haplustox,,HAC,,7.63,163.72,36.99,11.74,,7,2103.02,,17.48,#N/A,0.61,0.44,0.08,,,,2.00,0.19,#N/A,#N/A,#N/A,58.11,12.675,14.09917023,9.65,,Done,33.93,7.6,,,,#N/A,,1821,,,1.02,,,,,894,,,,,,,,21.183741,-155.397242
379,CIG-2020,WSARE-2019,,,,2023-0153,2023-0081,011-0074-2025-0101,,15,10/12/2023,Oahu,,60,Pasture,,Unmanaged/abandoned ag land,#N/A,#N/A,,Unmanaged/abandoned,,,,113,,Orchard/tree crop,No change,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,Disc,,No,Yes,None,Bare soil,Pulehu,,,Conventional cropland,PIAL,,Vertisol,,,HAC,,0.92,75.433,51.89,19.76,-3.48,7.5,192.00,59.18,50.26,,0.61,0.16,0.48,,5.53,2.62,0.50,1.38,,#REF!,#N/A,157.82,,#N/A,45.75,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,3/9/2022,,10/15/2024,,,,,,70,,88,,,,523,,< 0.5,,,,,,21.226537,-154.971713
114,Department of Health,,,,,2022-0056,2023-0082,010-0321-2024-0519,0,15,11/07/2023,Tinian,,1,Cropland,1950-2019,,unknown,#N/A,#N/A,,,,,C,12,Mixed,Weeds/Unmanaged,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,#VALUE!,Disc,Other,No,,None,,Wahiawa,,,Mixed,PIAL,,Andisol,Haplustand,Udand,Sand,,2.01,,56.66,49.09,338.47,5.12,135,,0.28,0.28,0.71,0.78,0.32,,,1.54,0.00,,#N/A,20.92451411,#N/A,150.07,15.73,#N/A,7.01,,In progress,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,3/9/2022,0.1,10,,,3512,1494,143,,,,174,,2.59,,,,,,,,,19.649663,-158.104413
984,CIG-2020,,,,,2022-0198,2023-0083,011-0123-2023-0017,0,20,08/21/2022,Oahu,,27.33,Cropland,2020-Present,Unmanaged/Abandoned Ag land,,#N/A,#N/A,,,,,100,12,Agroforestry,No change,None,0-250 lb/ac/yr,,,,#VALUE!,,#VALUE!,,,Disc,n/a,Yes,No,,,Hanalei,,,Conventional cropland,None,,Andisol,Acroperox,,HAC,,1.14,63.508,,163.4945264,31.14,5.67,1624.16,45.24,3.89,0.32,0.63,0.61,0.69,0.97,71.62420022,#N/A,0.00,0.1,#N/A,#N/A,9.61,23.31,9.95,#N/A,5.77,,,https://docs.google.com/spreadsheets/d/1mlqU9zH13GHF_afZSs_ju9Wjtxa9TrjZFf9XEAViy30/edit#gid=1076234668 ,7/9/2024,#N/A,,,,,,,,,111,,,,,,21,,,,,,21.775705,-156.824041
368,AFRI-Hawaii,Round 2,,,Own,2025-674-0037,2023-0084,026-0344-2025-0032,0,20,12/10/20,Big Island,,,"Agroforestry, Orchard, Protected forest, Unmanaged forest, Unmanaged/Abandoned Ag land",,Unmanaged/abandoned ag land,,#N/A,#N/A,,,,,Cowpea control 5,20,Weeds/Unmanaged,Grass/weeds/unmanaged,Manures,,,,,,,,,,None,,Yes,No,Sprinkle,Bare soil,Waimea,,,Mixed conventional and organic,PIAL,,Vertisol,Endoaquept/Palehumolt,Ustoll,PNCM,,1.08,144.77,34.35,57.07,12.16,8.26,1181.56,63.6,1.34,0.69,,0.17,0.30,,61.28629164,7.79,,0.27,#N/A,0.1619868893,#N/A,37.25,10.73,9.493020833,,,Done,,7/9/2024,scoring_function_noPIALv2,10/15/2024,,,4761,920,,16,,,,,,,,,,,,,,21.976761,-155.807088
768,Kākoʻo ʻŌiwi,,,,,776,2023-0085,008-0023-2020-0376,0,15,3/30/21,Big Island,,536.69,Cropland,1985-2021,Unmanaged/abandoned,,Pasture,,,,,,Cowpea control 4,,Nothing/bare fallow,,,250-500 lb/ac/yr,,,,,,,,,Disc,Other,No,Yes,None,Weeds,Daguey,,,Does not apply,PIAL,,Oxisol,Palehumult,Folists,HIST,,2.46,118.351,102.23,55.94,-1.89,,2438.11,78.08,14.95,0.95,0.29,0.08,#N/A,0.64,,#N/A,#N/A,0.76,29.03,#N/A,12.58,105.07,9.55,,-0.48,,Done,19.53,7.6,scoring_function_noPIALv2,10/15/2024,,,,,267,,0.68,,,,,,,,,,,,,20.476731,-156.449297
875,Hannah Hubanks,,,,,545,2023-0086,017-0043-2021-0634,0,5,,Oahu,,3,crop land,Unknown,,The producer has no records of previous land use,Pineapple or sugarcane plantation,#N/A,,,,,EEA Lajas 4,5,Mixed,Commercial veg/fruits,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,#VALUE!,,,,,None,Other,Yes,Yes,None,,Lolekaa,,,Organic cropland,None,,Andisol,Hydrudand,Ustox,Sand,,12.07,24.56,88.67,58.15112665,,8.07,302.3,98.52,60.07049892,0.85,0.12,0.01,0.02,0.7,,,#N/A,0.56,#N/A,#N/A,#N/A,170,11.05084746,#N/A,26.49,,Done,,10/4/2023,scoring_function_noPIALv2,11,,,,,,66,0.72,,369,,4.77,,,,,,,,,19.117094,-156.735405
1235,Department of Health,,,,,2022-0071,2023-0087,001-0004-2017-0021,0,15,9/12/2024,Pohnpei,,31,Cropland,2022-2023,Managed forest,,,,,,,,78,0.25,Weeds/Unmanaged,No change,Synthetic blend,,,,,,,,,,,n/a,Yes,Yes,None | Sprinkle,"Mulch (woodchip, leaf litter, other organic material), Weeds - existing grass mat",Kula,,,Conventional cropland,None,,Vertisol,,Folist,HAC,,3.30,583.06,48.0246355,28.03,19.55,5.31,216.71,60.9,0.3722592502,0.46,0.13,,0.67,,,27.14,0.00,0.44,#N/A,#N/A,27.61,107.29,13.54545455,7.95,14.50,,In progress,,3/9/2022,,10/15/2024,,,2960,,,,#N/A,,131,,30.41,561,,,,,,38,,21.645502,-159.194052
955,SSH,Baseline,,,Own,,2023-0088,008-0023-2018-0296,0,5,12/10/20,Puerto Rico,,,Unmanaged forest,Continuous,Unmanaged/abandoned,#N/A,#N/A,,,,vanna grass,,Palacios Plot 4 - Tinian Sample 8,454.67,Cover crop/legumes | Mixed | Orchard/tree crop | Row crop monoculture | Weeds/Unmanaged,Commercial veg/fruits,Synthetic blend,250-500 lb/ac/yr,,,,,,#VALUE!,,#VALUE!,None,,Unkonwn,Yes,Surface Drip,Weed Mat,Pulehu,,,Agroforestry,PIAL,,,Endoaquept/Palehumolt,Torrert,,,,44.132,65.05,,13.03,5.81,125.6,60.55,1.139977604,0.83,0.89,0.18,0.26,68.08,69.79,#N/A,#N/A,0.83,#N/A,6.046681034,0.49,,,#N/A,3.37,,Done,https://docs.google.com/spreadsheets/d/16vOfuaO-7wjY4aZkgjh6N8wdHOK1Ohe130j1QIxvXms/edit?usp=sharing,#N/A,,10/15/2024,139,,,1415,316,,,85,,4.21,7.2,,,,,,,,,21.025883,-156.311381
1195,Kākoʻo ʻŌiwi,,,,,2023-0343,2023-0089,011-0048-2023-0273,0,15,3/19/2024,Oahu,,128,Unmanaged forest,2019-curent,No Change,#N/A,#N/A,,,,,,2-5,.008 Acres,Row crop monoculture,Orchard/tree crop,Compost,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,#VALUE!,Disc,,,No,None,Weeds,Wahiawa,,,Conventional cropland,,Low,Ultisol,Haplustoll,Ustoll,PNCM,,10.92,170.8,62.77,7.15,84.96,5.62,,108.53,,0.72,0.36,0.39,0.22,#N/A,,0.23,1.50,0.28,#N/A,#N/A,20.2,82.02,10.35897436,5.74,4.38,,Done,,,scoring_function_noPIALv2,9,,,3160,,272,,0.84,,,10.4,,,,,,,,,,21.178395,-157.269437
1813,CIG-2020,Round 1,,,,445,2023-0090,011-0084-2023-0114,0,15,10/12/2023,Pohnpei,,60,Cropland,2006- present,Cropland,2006-2011,#N/A,1890-1990,,,,,Farmer Practice-5,,Orchard/tree crop,Weeds/Unmanaged,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,Spader,,Yes,,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",Waialua,,,Conventional cropland,PIAL,high,Oxisol,,Udand,PNCM,,1.82,121.05,51.61,18.73,37.75,7.53,,120.14,3.728403152,0.12,0.17,0.37,0.37,#N/A,,0.50,#N/A,,#N/A,#N/A,11.43,32.8,12.89473684,7.95,4.22,,Done,https://docs.google.com/spreadsheets/d/1vvr8eArKoytCODjnddGh5IJ8FjkEFDGUJxVxafpK9CY/edit#gid=1076234656 ,#N/A,scoring_function_noPIALv2,,122,#N/A,,1181,986,,,,,,,433,,,,,,,,19.714789,-157.645613
1740,Department of Health,Round 2,,,,2022-0110,2023-0091,010-0341-2025-0014,0,15,10/21/2024,Big Island,,,,2022-2024,2019-,1890s-2015,,#N/A,,NA,,,108,,Commercial veg/fruits,No change,Gypsum,,,,,,,,,,Roto,,Yes,Yes,,"
leaf residue",,,,Conventional cropland,None,,Andisol,Haplustox,,HAC,,2.15,357.02,169.8053969,67.36,6.98,5.8,206.00,87.57,,#N/A,0.66,0.18,0.39,,#N/A,#N/A,,0.12,#N/A,,#N/A,,18.89583333,#N/A,0.82,#REF!,,#N/A,#N/A,scoring_function_noPIALv2,10/15/2024,#N/A,17,,,,,,,,,,,,,,,,,,19.974363,-155.514322
504,CIG-2020,,,,Other,223,2023-0092,007-0022-2021-0492,0,15,02/26/2024,Big Island,,,Pasture,30,Pasture,,#N/A,#N/A,,,,,Avocado,,Forage,,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,None,,No,Yes,None,,Alapai,,,Not managed/abandoned,None,,Ultisol,,Ustox,HAC,,1.38,26.276,88.82,42.54,40.57,5.62,757.55,218.12,1.684585506,0.57,#N/A,0.27,0.69,0.37,34.14568345,0.10,#N/A,0.52,#N/A,2.961411246,84.46,33.62,13.61,#N/A,,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,scoring_function_noPIALv2,16,,,,,,30,1.09,,273,6.31,,#N/A,,< 0.5,,,,,,21.605485,-158.470271
270,Department of Health,,,,Other,2023-0070,2023-0093,011-0001-2024-0322,0,15,,Big Island,,,Cropland,Agroforestry,Unmanaged/abandoned ag land,,No Change,#N/A,,,,,56,0.044,Nothing/bare fallow,No change,Manures,,,,,,,,,,Disc,Other,No,No,drip irrigation,,Lolekaa,,,Agroforestry,PIAL,,Vertisol,Hydrudand,Udand,LAC,,6.98,124.018,120.44,16,77.89,7.01,387,175.72,25.21,#N/A,0.24,0.45,0.39,0.4188,5.65,,#N/A,0.2,,#N/A,,,11.125,,,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,5.1,,7,#N/A,,,,,,,,,14.08,,,,,,,,,,19.548016,-155.381237
1315,CIG-2020,Round 3,,,Other,2024-0526,2023-0094,011-0124-2025-0088,0,15,11/24/2023,Big Island,,2,Cropland,2021-2023,No Change,#N/A,2001-2011,1889-1949,,,,,,,Commercial veg/fruits,Forage,Lime,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,#VALUE!,None,More than twice,Yes,Yes,Sprinkle,Weeds,Fraternidad,,,Organic cropland,PIAL,,Aridisol,,Ustox,HAC,,3.33,167.743,80.91,54.61,5.59,7.07,450.75,107.8,1.779182585,0.37,0.29,0.39,0.54,1.17,,0.50,,0.11,#N/A,#N/A,#N/A,29.23,10.11764706,#N/A,1.72,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234684,5.2,0.18,11,,,#N/A,,,,,,134,,1.74,,,,,,,,,19.778094,-158.893297
1927,CIG-2020,,Control,,,529,2023-0095,011-0281-2025-0061,0,15,10/3/2024,Oahu,,22,Orchard,2000-2019,Cropland,1985-2019,#N/A,,,,,,Section E,0.046 acres,Forage,Weeds/Unmanaged,Synthetic blend,0-250 lb/ac/yr,Biochar,#VALUE!,,,,,,,None,,,Yes,,"Mulch (woodchip, leaf litter, other organic material)",Lihue,,,Conventional cropland,PIAL,SKIP,Andisol,Acrudox,Humult,LAC,,3.74,325.53,31.12,75.52,12.64,6.01,498.75,57.84,19.24,0.73,0.67,0.24,0.43,0.4,45.68,,,0.33,#N/A,#N/A,#N/A,12.21,6.578947368,6.54,,,Done,#N/A,7.7,scoring_function_noPIALv2,,204,,,,190,,,,,#N/A,1.29,,,,,,,7,,22.194309,-155.205451
1005,Kākoʻo ʻŌiwi,Baseline,20 ton compost,,,2025-674-0035,2023-0096,002-0018-2019-0117,,50,10/22/2019,,,1ac,Pasture,,Pineapple or sugarcane plantation,#N/A,Do not know,,Unmanaged/abandoned,,,,132,,Shrub,No change,Synthetic blend,#VALUE!,,0-250 lb/ac/yr,,,,,,#VALUE!,None,Twice yearly,No,No,None,"Mulch (woodchip, leaf litter, other organic material)",Waialua,,,Conventional cropland,PIAL,High,Oxisol,,,LAC,,,198.4031343,75.93,4.46,44.9,7.89,1509.36,52.42,,#N/A,,0.16,,#N/A,,#N/A,#N/A,0.65,#N/A,#N/A,,57.54,11.67357496,#N/A,12.11,,,31.87,7.8,,10/15/2024,199,,,,,,,,,,,,,,,,,,,20.752248,-156.569433
502,CIG-2020,Baseline,,,Lease,2024-0327,2023-0097,011-0029-2022-0061,0,,7-9-21,Pohnpei,,52,Protected forest,70,Unmanaged forest,,#N/A,,,,,,EEA Isabela 2,5.8,Agroforestry,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,No,Surface Drip,Weeds,Wahiawa,,,Mixed conventional and organic,PIAL,,Ultisol,Haplustoll,Ustox,PNCM,,3.2,54.05,197.89,45.05,162.9,7.27,,93.51,2.1805752,,0.51,#N/A,0.24,,,#N/A,0.50,0.51,42.42,,#N/A,,11.43,#N/A,4.04,,,,3/9/2022,#N/A,31,,18,,,,,,,,,2.63,566,,,,,,,,20.589967,-156.037265
,CIG-2020,Carbon Smart Puu o Hoku 4,,,,2024-0040,2023-0098,011-0082-2023-0286,0,15,11/07/2023,Kauai,,10,Unmanaged forest,,Unmanaged forest,#N/A,Unmanaged/abandoned ag land,____-1972,,,,,85,,Forage,Unmanaged forest,None,,"Biochar, Compost, Synthetic blends",,Compost,,,,,,Chisel,,Yes,Yes,Surface Drip,Weeds,Mahana,,,Organic cropland,,,Ultisol,Haplustand,,PNCM,,2.18,76.82,120.94,92.29,215.2,7.62,1156.81,90.96,60.52,0.97,0.20,0.77,0.63,1.05,13.21363853,0.00,5.00,0.52,#N/A,#N/A,#N/A,,9.166666667,12.19,8.81,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,3/9/2022,0.26,10/15/2024,,,2312,,#N/A,,,,280,,,,,,,67.48767497,,,,21.990691,-158.917689
1925,Client Projects,,,,,2024-0232,2023-0099,022-0312-2024-0479,0,15,12/9/2021,Oahu,,28,Pasture,Continuous,Unmanaged/abandoned,#N/A,#N/A,,,,,,P12-cover crop- sogrhum sudan. Sorghum x drummondii. (Steud.),2,Nothing/bare fallow,Protected forest,None,,,,,#VALUE!,,#VALUE!,,,None,,Yes,none,Surface Drip,Plastic Mulch,Helemano,,,Conventional cropland,PIAL,High,Andisol,Gypitorrert,Humult,HAC,,1.37,30.38,,34.57,6.35,7.93,167,195.97,24.35,,0.88,0.22,0.17,,,,#N/A,0.4,27.12,#N/A,788.58,11.08,14.22130988,4.000983397,44.85,,Done,,3/9/2022,,10/15/2024,,#N/A,,1073,,,0.72,#N/A,128,9.26,,,,,,,,,,19.441811,-155.932126
1488,SSH,WSARE-2019,,,Own,,2023-0100,003-0021-2019-0146,0,15,9/27/2024,Oahu,,46,,2019-2021,Cropland,,,,,,,,HH 1,0.001,Orchard/tree crop,Protected forest,Biosolids,,,,,,,,,,None,,,Yes,None,Weeds,Wahiawa,,,Pasture,None,,Andisol,,Folists,HAC,,5.28,258.782,113.39,80.34,,6.09,196,75.51,28.18,0.88,0.71,0.78,0.76,,#N/A,,#N/A,0.55,#N/A,#N/A,,9.83,,,74.69,,,https://docs.google.com/spreadsheets/d/1LZuf4Ci2LUjGz_QSnXNbifluQL_BFv2FcydQN4X-T_o/edit#gid=2114689346,7.7,scoring_function_noPIALv2,10/15/2024,88,12,,,,,,#N/A,256,,14.75,,,,,,,,,21.721807,-159.981667
1799,AFRI-2020,Waialua Farms,,,Other,2023-0330,2023-0101,020-0081-2024-0200,0,15,01/26/2024,Oahu,,10,Agroforestry,15,Pineapple or sugarcane plantation,1994-2013,,,Pineapple or sugarcane plantation,,,,,,"kukui, xmas berry",No change,Synthetic blend,,,,,,,,,,None,Yearly,Yes,Yes,None,Weeds,,,,Conventional cropland,PIAL,,Mollisol,Gypitorrert,Ustoll,LAC,,,80.014,56,23.63,7.53,7.19,96.27,,15.53,0.35,0.47,0.79,0.48,1.17,#N/A,14.72,0.00,0.22,#N/A,#N/A,#N/A,34.24648015,10.72,#N/A,13.77,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,3/9/2022,,10/15/2024,,,,,,,1.15,,,4.23,#N/A,,,,,,,,,19.725391,-159.951428
