,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
242,ORCD,Round 1,,,,2022-0227,2022-0117,002-0017-2019-0111,15,15,2/5/2021,Ant,Synthetic Ant Site 929,,,Cropland,2020-2021,,#N/A,Pasture,#N/A,,,,,Hala Tree Perennial Peanut 3 (HT87),2,Weeds/Unmanaged,Weeds/Unmanaged,Mineral,"500-1,000 lb/ac/yr",,,,,,#VALUE!,,,None,,No,No,Surface Drip,Bare soil,Ookala,19.159801,-159.693882,,,,None,,Ultisol,Haplustoll,Torrert,PNCM,,3.16,56.063,51.61,39.74,155.69,8.32,,95.16,25.46,,,0.42,0.53,,32.46264643,0.01,#N/A,0.17,#N/A,#N/A,,234.94,10,#N/A,1.98,,In progress,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,,10/15/2024
1516,AFRI-Hawaii,WSARE-2019,,,,2021-0593,2022-0118,011-0082-2022-0106,0,15,9/23/2019,Big Island,Synthetic Big Island Site 775,,20,Unmanaged forest,,,,Pineapple or sugarcane plantation,,,,,,Ho Farm Vegetable Control 5,2,Unmanaged forest,No change,Synthetic blend,1-5 tons/ac/yr,,,,,,,,#VALUE!,none,Other,Yes,,None,Bare soil,Pulehu,19.719792,-159.734827,,,Conventional cropland,PIAL,,Oxisol,Haplustox,Folist,HAC,,13.17,43.95,97.6,16.77,141.61,6.6,1387.37,115.85,18.95,0.72,0.89,0.91,0.69,1.27,,#N/A,0.50,0.73,#N/A,#N/A,#N/A,33.98,12.6,11.40533425,9.09,,Done,,5.3,0.42,10/15/2024
651,CIG-2020,,,,Own,2023-0277,2022-0119,025-0019-2025-674-0044,,15,7/17/2023,Oahu,Synthetic Oahu Site 226,,5 acres,Unmanaged forest,2006- present,Pasture,,,,,,,,75,Site F16,Orchard/tree crop,No change,None,,,,,,,#VALUE!,,,None,,No,Unknown,None,"Mulch (woodchip, leaf litter, other organic material)",Lolekaa,21.432193,-158.179956,,,Conventional cropland,None,high,Histosol,Dystrudept,Ustept,LAC,,13.54,79.27,36.89,23.24,191.44,6.51,162.34,63.89,29.24,0.91,0.86,0.04,0.33,1.04,,0.06,5.00,,17.33,,#N/A,,12.56363636,#N/A,,,,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,7/10/2024,0.59,10/15/2024
1747,CIG-2020,Round 1,,,Own,2022-0224,2022-0120,016-0117-2023-0005,0,15,9/11/2024,Oahu,Synthetic Oahu Site 403,,12,Orchard,2006-present,,#N/A,#N/A,1850-1920,,,,,68,,Orchard/tree crop,Commercial veg/fruits,Compost,0-250 lb/ac/yr,,,,,,,,,Disc,None,,Yes,Surface Drip,Weeds,Ookala,21.561437,-158.074394,,,Mixed conventional and organic,None,,Mollisol,Haplustoll,Humult,LAC,,,34.380,59.35,10.32,35.86,7.54,1525.62,62.37,45.02,1.00,0.58,0.53,0.09,,47.58,#N/A,#N/A,0.15,43.79,#N/A,1.224995499,12.04,9.555555556,#N/A,18.78,,,#N/A,3/9/2022,scoring_function_noPIALv2,10/15/2024
1273,HICSC,,,,Own,236,2022-0121,008-0204-2023-0371,5,15,11/19/2024,Oahu,Synthetic Oahu Site 736,,12,crop land,,Cropland,not available,#N/A,unknown,,,,,Haleakala Ranch Silvopasture 2,SITE 1 A,,,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Roto,,No,Yes,None,Bare soil,Ookala,21.636139,-158.281832,,,Organic cropland,PIAL,SKIP,Inceptisol,Dystrustept,Ustoll,HAC,,2.17,48.54,56.28,3.65,50.24,8.52,258.78,147.92,65.85,0.99,0.75,#N/A,#N/A,,42.68,#N/A,0.00,0.14,#N/A,#N/A,,,9.22,5.888737695,4.48,,Done,,,scoring_function_noPIALv2,7
,CIG-2020,,,,,2023-0128,2022-0122,011-0126-2024-0453,0,15,11/07/2023,Maui,Synthetic Maui Site 316,,89,Orchard,2016-2021,Unmanaged/abandoned,#N/A,,,,,,,124,60,Forage,Commercial veg/fruits,Synthetic blend,,,,,,,#VALUE!,,,None,,No,,Sprinkle,Weeds,Lualualei,20.729802,-156.577562,,,Conventional cropland,None,,Mollisol,,Udand,HAC,,1.21,37.760,62.45,36.53,49.86,7.17,331.28,201.27,10.24,0.72,0.18,0.43,,,14.72,,#N/A,0.37,53.60,29.48434552,57.27,,12.97,#N/A,17.77,,In progress,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,7/10/2024,,10/15/2024
,CIG-2020,WSARE-2019,,,,2021-0610,2022-0123,025-0019-2024-0341,0,20,,Oahu,Synthetic Oahu Site 220,,0.49,Orchard,Since approximately 1800s,No Change,,Unmanaged/abandoned,1890-1990,,,,,,10,Agroforestry,Forage,Synthetic blend,,,,,,,,,,Disc,More than twice,Yes,No,None,Bare soil,Lualualei,21.487797,-158.003319,,,,None,,Ultisol,Haplustert,Ustept,HAC,,1.46,70.41,19.94689255,129.65,-12.93,6.23,486.71,126.26,50.23,0.04,0.95,#N/A,,,80.95175814,#N/A,0.00,0.4,,-0.3433385605,3.84,74.80,9.99,#N/A,15.34,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,7.6,scoring_function_noPIALv2,39
194,Department of Health,WSARE-2019,,,,2023-0459,2022-0124,011-0125-2023-0068,0,15,,Puerto Rico,Synthetic Puerto Rico Site 828,,14,Managed forest,2018-current,Unmanaged forest,2011-2018,#N/A,,,,,,Compost 2 - Section E,5,Row crop monoculture,Orchard/tree crop,None,0-250 lb/ac/yr,,#VALUE!,,,,,,,None,,Yes,No,None,,Lolekaa,21.127408,-156.458415,,,,PIAL,,Oxisol,Hydrudand,Folist,LAC,,4.54,309.636,26.09,,0.89,6.2,135.818691,69.4,4.00,0.34,,0.23,0.92,,58.53,,#N/A,0.37,,,#N/A,,0.02,10.86,0.45,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,#N/A
926,HICSC,Baseline,,,,2024-0471,2022-0125,007-0022-2021-0467,0,15,2/8/21,Oahu,Synthetic Oahu Site 253,,136,Orchard,1850-2023,Pasture,1990-2005,Pineapple or sugarcane plantation,not available,,,,,1,4,Orchard/tree crop,Commercial veg/fruits,Bone/blood meal,0-250 lb/ac/yr,,,,,,,,,Disc,,No,No,Surface Drip,,Kikoni,21.345325,-157.981471,,,,PIAL,,Andisol,Haplustoll,,,,8.21,309.898,83.99,20.51,14.81,5.48,,150.58,36.02,0.31,0.64,0.23,0.33,1.35,57.37,0.37,,1.2,42.2,,#N/A,24.40,6.85,8.84,3.95,,Done,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,3/9/2022,,10/15/2024
1576,LTAR,,,,Own,235,2022-0126,004-0346-2025-674-0061,0,12,11/2/17,Big Island,Synthetic Big Island Site 238,,2,Cropland,Continuous,2019-,,,#N/A,,,,,ʻ1-2,0.25,Cover crop/legumes-canavalia,Unmanaged forest,Synthetic blend,250-500 lb/ac/yr,,,,#VALUE!,,,,,None,Yearly,No,Yes,None,Bare soil,,21.682492,-156.571184,,,Conventional cropland,None,high,Mollisol,Palehumult,Udand,PNCM,,11.73,115.9851,73.72,105.65,41.64,7.3,,72.33,11.0506,0.20,0.38,0.67,0.16,,41.63,0.05,#N/A,0.14,30.11,,#N/A,116.31,13.44949495,#N/A,4.07,,Done,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,,scoring_function_noPIALv2,14
1667,AFRI-2020,,,,,SH-CM-8,2022-0127,023-0011-2024-0010,0,15,11-04-18,Kaho'olawe,Synthetic Kaho'Olawe Site 075,,,Pasture,2006-present,Pasture,1960-1999,#N/A,,,,,,Mulch 5,Site F17,Dryland root crops,Protected forest,Synthetic blend,,,,,,,,,#VALUE!,None,Other,Yes,Yes,None,,Olinda,21.376311,-156.617453,,,Pasture,PIAL,,Mollisol,Haplustept,,HAC,,1.63,329.63,31.3,41.13,240.88,7.48,166,,,0.62,0.82,0.90,0.16,,,0.10,#N/A,0.1,25.92,#N/A,7.212108139,159.79,,#N/A,,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024
,ORCD,,,,Other,2023-0250,2022-0128,025-0019-2025-674-0004,0,15,2025-04-25 00:00:00,Puerto Rico,Synthetic Puerto Rico Site 906,,12,Unmanaged forest,2014-2024,Cropland,,Ohia forever,#N/A,,,,,103,0.971,Orchard/tree crop,Protected forest,Natural farming practices,250-500 lb/ac/yr,,,,,,,,,Disc,Other,Yes,No,Surface Drip,,Humatas,19.509759,-160.090481,,,,PIAL,,Mollisol,Palehumult,Ustand,HAC,,3.35,122.3935,,52.55,6.46,4.19,885.45,175.72,52.67,0.67,,0.75,0.91,,#N/A,#N/A,#N/A,0.12,#N/A,#N/A,,399.38,12.47058824,#N/A,30.81,,,34.03,3/9/2022,scoring_function_noPIALv2,16
508,Kākoʻo ʻŌiwi,Round 2,,,,308,2022-0129,020-0081-2024-0280,0,15,7/18/2023,Puerto Rico,Synthetic Puerto Rico Site 949,,,crop land,2019-2021,Pasture,1900-2009,Pineapple or sugarcane plantation,#N/A,,,,,Kona Tiki Mulch 4,,Commercial veg/fruits,No change,None,none,,,,#VALUE!,,#VALUE!,,,,Yearly,No,No,Sprinkle,,Lualualei,20.717150,-155.807421,,,Conventional,,,Entisol,,Argid,PNCM,,5.84,59.890,79.5,62.32413109,42.42,5.86,740.23,,1.2,0.61,0.64,0.20,,,25.74,3.01,#N/A,1.38,,#N/A,#N/A,43.24663494,12.22,16.66,0,,Done,,#N/A,scoring_function_noPIALv2,10/15/2024
1007,UROP-2019,,,,Lease,SH-HARC-18,2022-0130,011-0085-2024-0107,0,50,8/7/2020,Puerto Rico,Synthetic Puerto Rico Site 642,,32,Agroforestry,1800- 2021,Protected forest,1976-2016,#N/A,#N/A,,,,,SH1A,.008 Acres,Agroforestry,Commercial veg/fruits,Synthetic blend,0-250 lb/ac/yr,,,,,,,,#VALUE!,None,n/a,Yes,Yes,Surface Drip,Weeds,Alapai,20.408144,-158.867261,,,Conventional cropland,None,,Oxisol,Haplustoll,,HAC,,13.81,24.47,28.24,6.44,23.82,8.01,214.56,111.02,69.51,#N/A,0.15,0.85,0.72,1.16,,0.00,0.00,0.09,,41.62886889,,,10.91,,7.72,,,#N/A,,scoring_function_noPIALv2,
1770,CIG-2020,Round 3,,,Own,2024-0414,2022-0131,011-0063-2022-0039,0,15,12/7/23,Puerto Rico,Synthetic Puerto Rico Site 651,,3,Cropland,2022-2024,No Change,#N/A,,,Unmanaged/abandoned,,,,HD2A,4.9,Cover crop/legumes-canavalia,,Bone/blood meal,,,#VALUE!,,,,,,,Roto,More than twice,No,No,,Bare soil,Molokai,21.525001,-160.232867,,,Protected forest,PIAL,,Aridisol,Gypitorrert,Torrert,HAC,,1.9,357.02,231.7528976,51.29,57.57,8.39,218,72.94,30.1861,0.43,0.86,0.61,0.29,,95.23,0.61,,0.64,#N/A,63.79,#N/A,23.38,13.91780822,#N/A,5.86,,,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,3/9/2022,scoring_function_noPIALv2,19
1989,CIG-2020,Baseline,40 ton compost,,,2022-0139,2022-0132,011-0125-2023-0064,0,15,4-25-2022,Oahu,Synthetic Oahu Site 104,,19,Agroforestry,2014-2024,,2020-2023,#N/A,,,,,,Ho Farm Avocado Control 5,5,Forage,,Bone/blood meal,,,,,#VALUE!,,,,,Disc,More than twice,Yes,,Surface Drip,Grass,Lolekaa,21.477872,-158.220814,,,Organic cropland,PIAL,,Oxisol,Palehumult,Folists,LAC,,5.71,45.9777,54.02,41.54,18.78,6.78,52.76,169.6,12.75,#N/A,0.64,0.28,0.80,,,#N/A,,0.12,#N/A,#N/A,3.34,212.12,11.33,10.20319065,12.52,,,https://docs.google.com/spreadsheets/d/1vvr8eArKoytCODjnddGh5IJ8FjkEFDGUJxVxafpK9CY/edit#gid=1076234653,,,
972,ORCD,Round 2,,,Lease,2021-0609,2022-0133,011-0063-2022-0036,0,15,7/5/2024,Maui,Synthetic Maui Site 351,,22.8,Cropland,Agroforestry,Unmanaged/abandoned ag land,,Unmanaged/abandoned,#N/A,,,,,5-4,10,Lawn/yard/park,No change,None,1-5 tons/ac/yr,,,,,,,,,None,,Yes,No,None,Bare soil,Pulehu,20.918694,-156.075457,,,Pasture,None,,Oxisol,Haplustoll,Ustept,HAC,,1.31,26.22,164.4,27.02,10.72,5.34,90,94.33,5.242927165,,0.66,0.37,0.49,,69.93,#N/A,,0.46,74.88,#N/A,6.48,164.82,10.22,#N/A,,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,7/8/2024,,39
1024,Kākoʻo ʻŌiwi,Round 1,,,,2024-0506,2022-0134,024-0252-2023-0468,0,15,3/21/2023,Oahu,Synthetic Oahu Site 502,,31,Agroforestry,2019-curent,,#N/A,#N/A,,,,,,27,"40 acres, 20 under trial ",Weeds/Unmanaged,Orchard/tree crop,,"500-1,000 lb/ac/yr",,,,,,,,,combo of chisel and disc,None,No,Yes,Surface Drip,Weed Mat,Lualualei,21.727928,-158.020895,,,Protected forest,None,,Inceptisol,Ustifolist,Perox,PNCM,,1.07,98.995,56.66,42.50487148,166.48,,864.17,98.85,,0.51,0.51,0.56,0.04,,#N/A,#N/A,0.00,0.64,#N/A,,51.87,18.74,,11.61,10.89,,,35.63,,scoring_function_noPIALv2,
36,CIG-2020,,,,Own,2024-0245,2022-0135,011-0011-2024-0021,0,15,8/14/2024,Big Island,Synthetic Big Island Site 141,,,Orchard,2022-2024,Unmanaged/abandoned ag land,,#N/A,#N/A,,,,,83,,Commercial veg/fruits,Forage,Synthetic blend,,,#VALUE!,,,,,,,None,n/a,No,,Surface Drip,Weeds,,19.094219,-159.235131,,,Protected forest,None,,Andisol,Haplustox,Folist,,,0.37,74.49,54.95,6.53,37.38,8.23,205,101.25,68.06,0.32,,,0.89,,3.89,#N/A,#N/A,0.19,#N/A,2.65,#N/A,,10.97,#N/A,3.4,,Done,18.28,3/9/2022,scoring_function_noPIALv2,6
2055,SSH,,,,Own,2021-576,2022-0136,014-0032-2021-0524,0,15,12/9/2021,Puerto Rico,Synthetic Puerto Rico Site 229,#N/A,6,Orchard,2019-2024,Cropland,#N/A,,,,,,,Ho Farm Avocado Control 1 sieved,12,Nothing/bare fallow,Commercial veg/fruits,,,,,,,,,,,Disc,,Yes,No,,Living mulch,Lahaina,20.925998,-157.640796,,,Conventional cropland,PIAL,,Andisol,,Argid,HAC,,3.9,83.205,54.40,47.93,47.86,6.55,2265.84,86.27,0.00,0.38,0.67,0.81,0.72,0.65,,0.24,3.50,0.25,8.55,#N/A,#N/A,82.52,8.50,#N/A,10.37,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,scoring_function_noPIALv2,10/15/2024
,Hannah Hubanks,Round 1,,,,2021-0678,2022-0137,007-0022-2021-0469,0,15,02/05/2024,Big Island,Synthetic Big Island Site 326,,5.8,Orchard,2006-current,Protected forest,,#N/A,#N/A,,NA,,,SH2B,4.9,Commercial veg/fruits,,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,,,No,Surface Drip,Plastic Mulch,Dolekei-Fomseng,21.544202,-158.424046,,,Conventional cropland,PIAL,high,Andisol,,Torrert,LAC,,1.79,52.840,14.68,,182.64,6.35,1600.49,61.71,21.04520535,#N/A,0.86,0.27,0.35,,18.67492307,,54.06,,#N/A,#DIV/0!,#N/A,31.34,7.888888889,#N/A,8.58,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,scoring_function_noPIALv2,10/15/2024
,Carbon-Smart Land Manager Program,Round 2,,,,2024-0361,2022-0138,025-0019-2025-674-0048,5,15,12/15/2022,Oahu,Synthetic Oahu Site 296,,5.8,Orchard,2021-current,Pasture,1980-2019,#N/A,,,,,,Carbon Smart Puu o Hoku 1,10,Orchard/tree crop,Commercial veg/fruits,Bone/blood meal,0-250 lb/ac/yr,,other,,,,,,,None,,,No,None,,Kaipoioi,21.739782,-157.734517,,,Does not apply,PIAL,,Andisol,Palehumult,Ustox,LAC,,1.69,20.87,40.96,33.44,198.81,5.11,289.22,107.74,16.86,0.22,0.02,0.97,0.72,71.13,88.57,#N/A,,0.3,16.47,14.86098741,#N/A,23.14,11.50,#N/A,3.97,,,,7/9/2024,scoring_function_noPIALv2,10/15/2024
1752,Kaho'olawe,,,,Own,2024-0164,2022-0139,008-0023-2020-0402,0,15,2/8/21,Big Island,Synthetic Big Island Site 547,,128,Cropland,>30 yrs,Unmanaged forest,#N/A,#N/A,#N/A,,,,,78,0.001,Nothing/bare fallow,Grass/weeds/unmanaged,None,,,,,,,,,,,Other,No,Yes,,Bare soil,Waialua,20.305309,-154.823447,,,Organic cropland,PIAL,,Inceptisol,Haplustoll,Ustoll,LAC,,3.56,,55.2,16,9.81,5.92,315.00,65.7,4.08,0.69,#N/A,0.59,,0.87,#N/A,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,57.12,15.07786532,12.19,4.49,,Done,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,8.1,scoring_function_noPIALv2,10/15/2024
825,Kākoʻo ʻŌiwi,Round 2,,,,2024-0273,2022-0140,001-0007-2017-0033,0,15,03/04/2023,Oahu,Synthetic Oahu Site 073,,22.8,,Continuous,,#N/A,Unmanaged/abandoned,#N/A,,,,,CM3,38,Forage,Improved forage,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,#VALUE!,,,Disc,More than twice,Yes,No,None,Weeds,Waimea,21.624788,-157.755096,,,Does not apply,PIAL,,Vertisol,Haplustox,Aquept/Humolt,LAC,,0.55,109.31,18.88,10.17,42.81,7.04,2948.97,67.98,9.12,0.18,0.11,#N/A,0.23,1.13,92.0928,#N/A,0.25,0.54,,0.655089557,,,11.00,12.26068052,43.62,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,7/10/2024,scoring_function_noPIALv2,10/15/2024
,HICSC,,,,,2024-0084,2022-0141,010-0185-2023-0233,,15,03/15/2024,Pohnpei,Synthetic Pohnpei Site 612,,,Cropland,2021-current,,1950-1985,#N/A,,,,,,Palani Ranch Plot 1 Sample 2,,Commercial veg/fruits,Commercial veg/fruits,,N/A,,,,,,#VALUE!,,#VALUE!,Roto,More than twice,Yes,No,None,Weeds,Waialua,19.101631,-158.778335,,,Mixed conventional and organic,None,,Vertisol,Haplustand,Torrert,PNCM,,1.71,38.89,,7.46,,5.23,386.41,76.32,,0.81,0.24,0.81,0.06,0.4,,,,0.12,#N/A,#N/A,,67,10.97014925,12.41467326,13.68,,Done,,#N/A,0.9,10/15/2024
660,LTAR,Round 2,,,Lease,2023-0292,2022-0142,007-0022-2021-0503,0,15,11/2/17,Oahu,Synthetic Oahu Site 915,,5,Unmanaged forest,2017-2021,Pasture,#N/A,Unmanaged/abandoned,,,,,,3-6,12,Orchard/tree crop,No change,Manures,N/A,,,,,,,,,None,n/a,No,No,,Bare soil,Lolekaa,21.459519,-157.782025,,,Pasture,None,,Inceptisol,Petraquept,,PNCM,,13.38,59.911,69.75,47.9,9.5,6.44,1091,86.50,15.16501432,0.28,0.70,0.30,0.90,,#N/A,,0.10,0.08,#N/A,#N/A,12.12,53.67,11.08,#N/A,87.9,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,,10/15/2024
178,Kākoʻo ʻŌiwi,,,,Own,2023-0230,2022-0143,002-0018-2019-0118,0,20,1/8/2025,Oahu,Synthetic Oahu Site 505,,5,Agroforestry,2006- present,Cropland (corn),2014-2022,,#N/A,,,,,127,,Forage,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,,None,,Ookala,21.603764,-158.171048,,,Conventional cropland,Yes,,Oxisol,Hapludox,Ustox,HAC,,7.21,36.265,76.71,75.21763413,173.82,5.95,221.00,135.56,10.47,0.13,0.33,0.89,0.83,1.03,#N/A,#N/A,#N/A,0.53,89.96,#N/A,#N/A,283.75,11,#N/A,2.94,,Done,28.63,#N/A,scoring_function_noPIALv2,10/15/2024
1926,Kākoʻo ʻŌiwi,Round 2,,,Other,2023-0216,2022-0144,007-0005-2021-0460,0,15,11/07/2023,Puerto Rico,Synthetic Puerto Rico Site 436,,7,Pasture,2014-2024,Unmanaged/abandoned ag land,,,,,,,1995-2014,Lot 16 control 1,,Forage,,Compost,,,,,,,,,#VALUE!,Disc,,Yes,Yes,,"Mulch (woodchip, leaf litter, other organic material)",Lualualei,21.712909,-158.937289,,,Conventional cropland,,,Mollisol,Haplustoll,Ustept,HAC,,1.77,381.499,123.9,4.8,59.57,6.94,,93.31,38.96,0.55,,,0.19,,#N/A,#N/A,1.00,0.16,99.7,#N/A,#N/A,27.36,12.75531915,#N/A,1.77,,In progress,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,3/9/2022,scoring_function_noPIALv2,#N/A
1237,Department of Health,,,,Own,2024-0188,2022-0145,001-0009-2018-0038,0,,07/06/2022,Big Island,Synthetic Big Island Site 923,,0.49,Orchard,1975-2024,Unmanaged forest,#N/A,,,,,,,22,.026 acres,Orchard/tree crop,Forage,Manures,,Fish meal,,,#VALUE!,,,,,Disc,,Yes,Yes,,Weeds,,19.047857,-155.980435,,,Conventional cropland,None,,Andisol,Haplustand,Udand,LAC,,1.12,298.599,34.1,5.68,113.48,6.36,,84.6,17.3,0.21,0.81,0.95,0.42,0.84,40.81957793,0.37,0.00,1.12,,#N/A,#N/A,76,11.78378378,25.96544211,17.99,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,3/9/2022,1.13,16
478,CIG-2020,,,,,2022-0049,2022-0146,,0,,04/13/2023,Oahu,Synthetic Oahu Site 156,,10,,,Unmanaged/abandoned,1980-2019,,NA,Unmanaged/abandoned,,,,103,15,Commercial veg/fruits,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,,Yes,Yes,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Lualualei,21.674142,-158.143360,,,Pasture,None,,Mollisol,Palehumult,Ustoll,HIST,,2.59,17.736,33.71,51.66,68.74,5.41,649.53,127.7,2.61,0.33,0.51,0.60,,,48.36,5.31,2.50,0.2,35.5153142,#N/A,#N/A,15.08,12.79310345,#N/A,35.11,,,35.3,10/4/2023,scoring_function_noPIALv2,
742,Kākoʻo ʻŌiwi,,,,,2024-0155,2022-0147,020-0081-2024-0199,0,,,Big Island,Synthetic Big Island Site 176,,22.8,crop land,2020-2024,Unmanaged forest,1980-2019,2001-2011,#N/A,,,,,Tree Establishment 4,,Row crop monoculture,Commercial veg/fruits,None,,,,,,,,,,None,,,Yes,None,Plastic Mulch,Hanalei-Lolekaa,20.407180,-158.636060,,,Conventional cropland,PIAL,,Mollisol,Haplustert,Ustand,PNCM,,1.86,253.073,,,191.25,6.16,1949.54,,,0.48,0.97,0.79,,1.07,#N/A,#N/A,,1.30,#N/A,#N/A,11.58,39.04,9.82,#DIV/0!,,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,7.7,scoring_function_noPIALv2,#N/A
1044,CIG-2020,Baseline,,,,2025-674-0051,2022-0148,008-0023-2020-0414,0,15,2025-02-07 00:00:00,Oahu,Synthetic Oahu Site 246,,,Unmanaged/abandoned,,,80 years,#N/A,,,,,,Palani Ranch Plot 1 Sample 6,10 acres,Nothing/bare fallow,No change,Synthetic blend,#VALUE!,,#VALUE!,,,,,,#VALUE!,None,,,Yes,Surface Drip,Weeds,Wahiawa,21.394773,-157.914182,,,Organic cropland,PIAL,,Inceptisol,,Torrert,HAC,,1.16,51.348,,21.47,160.79,,,107.62,,0.62,0.77,,,0.92,4.651078031,0.06,,0.4,#N/A,,,34.62,15.16,23.6601897,6.47,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,scoring_function_noPIALv2,
,SSH,Round 2,,,,2023-0327,2022-0149,007-0022-2019-0208,0,15,4/11/2018,Oahu,Synthetic Oahu Site 437,,17,Agroforestry,2010-2019,,,#N/A,,,,,,New Kalo Plot,9.29,Row crop monoculture,Orchard/tree crop,None,,,,,,,#VALUE!,,,None,Other,No,Yes,None,Weeds,Hilo,21.714915,-157.940001,,,Conventional cropland,None,,Ultisol,Haplustoll,Ustox,PNCM,,1.35,26.02,,44.24,,5.11,1477.82,,5.91,0.83,0.06,#N/A,0.18,,#N/A,#N/A,0.50,0.08,,2.182953969,,49.15,6.823811245,#N/A,3.68,,Done,17.24,7.9,scoring_function_noPIALv2,10/15/2024
713,Kākoʻo ʻŌiwi,Round 3,,,,490,2022-0150,007-0022-2021-0500,5,15,09/30/2021,Oahu,Synthetic Oahu Site 177,,27,Cropland,2022-2024,,,,,,,,,YA,,Weeds/Unmanaged,No change,,,,,,,,,,,Disc,Twice yearly,,Yes,None,Weed Mat,Lolekaa,21.602563,-158.010893,,,Protected forest,PIAL,,Vertisol,Hydrudand,Argid,PNCM,,8.6,98.024,,,46.61,6.04,289.47,92.95,6.08,0.32,0.68,0.77,0.17,,,#N/A,#N/A,0.79,#N/A,#N/A,#N/A,69.91,10.30769231,#DIV/0!,3.51,,In progress,,3/9/2022,#N/A,
994,ORCD,Baseline,,,,SH-HARC-5,2022-0151,007-0030-2019-0245,0,15,9/23/2019,Oahu,Synthetic Oahu Site 738,,100.036,Cropland,1985-2021,Unmanaged/abandoned ag land,,,,,,,,,,,No change,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Disc,,Yes,,,Bare soil,Fraternidad,21.269557,-158.083159,,,UPIAL,PIAL,,Ultisol,Ustipsamment,Ustand,HAC,,,121.57,13.70,28.71,131.85,6.68,8660.21,129.34,1.02,0.79,0.04,0.86,0.42,0.50,88.76,18.53,#N/A,0.76,#N/A,#N/A,#N/A,26.02,9.06,8.616320748,3.69,,,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,3/9/2022,#N/A,
